exno	hamming loss	subset accuracy	examplebased precision	examplebased recall	examplebased F	1-Error loss	coverage	Ranking Error loss	average precision
40	0.0677	0.0000	0.0000	0.0000	0.0000	1.0000	16.4375	0.6755	0.2899
41	0.0677	0.0000	0.0000	0.0000	0.0000	0.9375	11.7500	0.4389	0.2899
42	0.7656	0.0000	0.0813	1.0000	0.1479	1.0000	7.1250	0.2561	0.2899
43	0.1042	0.0000	0.0625	0.0208	0.0313	0.9375	15.0625	0.5613	0.2899
44	0.0677	0.0000	0.0000	0.0000	0.0000	1.0000	16.4375	0.6755	0.2899
45	0.1042	0.0000	0.0625	0.0208	0.0313	1.0000	16.4375	0.6747	0.2899
46	0.0677	0.0000	0.0000	0.0000	0.0000	1.0000	16.4375	0.6755	0.2899
47	0.9323	0.0000	0.0677	1.0000	0.1251	0.9375	6.4375	0.2329	0.2899
48	None	None	None	None	None	1.0000	16.2500	0.5967	None
49	0.0677	0.0000	0.0000	0.0000	0.0000	0.9375	6.1875	0.2259	0.2899
50	0.0677	0.0000	0.0000	0.0000	0.0000	0.9375	6.1875	0.2259	0.2899
51	0.0677	0.0000	0.0000	0.0000	0.0000	0.9375	6.1875	0.2259	0.2899
52	0.0677	0.0000	0.0000	0.0000	0.0000	0.9375	6.1875	0.2259	0.2899
53	None	None	None	None	None	None	None	None	None
54	None	None	None	None	None	None	None	None	None
55	None	None	None	None	None	None	None	None	None
56	None	None	None	None	None	None	None	None	None
57	None	None	None	None	None	None	None	None	None
58	None	None	None	None	None	None	None	None	None
59	None	None	None	None	None	None	None	None	None
60	None	None	None	None	None	None	None	None	None
61	None	None	None	None	None	None	None	None	None
62	None	None	None	None	None	None	None	None	None
63	None	None	None	None	None	None	None	None	None
64	None	None	None	None	None	None	None	None	None
65	None	None	None	None	None	None	None	None	None
53	None	None	None	None	None	None	None	None	None
